,Correlation
Glucose,0.7242043563641042
Insulin,0.42330918231956627
BMI,0.4086441608562
Diabetes Pedigree Function,0.39492274897699625
Pregnancies,0.38539606504010826
Age,0.36751646476484057
Blood Pressure,0.22137506205907556
Skin Thickness,0.17873159013606588
