n_colonies,local_patience,initial_mu,mean_accuracy,std_accuracy,mean_loss,std_loss,success
5,5,0.0001,0.6777173913043479,0.035766485616897624,2.22225620017043,0.0415689738461483,True
5,5,0.01,0.6777173913043479,0.035766485616897624,2.22225620017043,0.0415689738461483,True
5,5,0.1,0.6777173913043479,0.035766485616897624,2.22225620017043,0.0415689738461483,True
5,10,0.0001,0.6777173913043479,0.035766485616897624,2.22225620017043,0.0415689738461483,True
5,10,0.01,0.6777173913043479,0.035766485616897624,2.22225620017043,0.0415689738461483,True
5,10,0.1,0.6777173913043479,0.035766485616897624,2.22225620017043,0.0415689738461483,True
5,15,0.0001,0.6777173913043479,0.035766485616897624,2.22225620017043,0.0415689738461483,True
5,15,0.01,0.6777173913043479,0.035766485616897624,2.22225620017043,0.0415689738461483,True
5,15,0.1,0.6777173913043479,0.035766485616897624,2.22225620017043,0.0415689738461483,True
2,5,0.0001,0.6271739130434782,0.031068708539035785,2.1246320872741564,0.1226905790200644,True
2,5,0.01,0.6271739130434782,0.031068708539035785,2.1246320872741564,0.1226905790200644,True
2,5,0.1,0.6271739130434782,0.031068708539035785,2.1246320872741564,0.1226905790200644,True
2,10,0.0001,0.6271739130434782,0.031068708539035785,2.1246320872741564,0.1226905790200644,True
2,10,0.01,0.6271739130434782,0.031068708539035785,2.1246320872741564,0.1226905790200644,True
2,10,0.1,0.6271739130434782,0.031068708539035785,2.1246320872741564,0.1226905790200644,True
2,15,0.0001,0.6271739130434782,0.031068708539035785,2.1246320872741564,0.1226905790200644,True
2,15,0.01,0.6271739130434782,0.031068708539035785,2.1246320872741564,0.1226905790200644,True
2,15,0.1,0.6271739130434782,0.031068708539035785,2.1246320872741564,0.1226905790200644,True
4,5,0.0001,0.6108695652173913,0.05839293921114474,2.2948347590734715,0.10063017157674986,True
4,5,0.01,0.6108695652173913,0.05839293921114474,2.2948347590734715,0.10063017157674986,True
4,5,0.1,0.6108695652173913,0.05839293921114474,2.2948347590734715,0.10063017157674986,True
4,10,0.0001,0.6108695652173913,0.05839293921114474,2.2948347590734715,0.10063017157674986,True
4,10,0.01,0.6108695652173913,0.05839293921114474,2.2948347590734715,0.10063017157674986,True
4,10,0.1,0.6108695652173913,0.05839293921114474,2.2948347590734715,0.10063017157674986,True
4,15,0.0001,0.6108695652173913,0.05839293921114474,2.2948347590734715,0.10063017157674986,True
4,15,0.01,0.6108695652173913,0.05839293921114474,2.2948347590734715,0.10063017157674986,True
4,15,0.1,0.6108695652173913,0.05839293921114474,2.2948347590734715,0.10063017157674986,True
3,5,0.0001,0.5967391304347827,0.05801741802209791,2.298628090788274,0.07997750551861436,True
3,5,0.01,0.5967391304347827,0.05801741802209791,2.298628090788274,0.07997750551861436,True
3,5,0.1,0.5967391304347827,0.05801741802209791,2.298628090788274,0.07997750551861436,True
3,10,0.0001,0.5967391304347827,0.05801741802209791,2.298628090788274,0.07997750551861436,True
3,10,0.01,0.5967391304347827,0.05801741802209791,2.298628090788274,0.07997750551861436,True
3,10,0.1,0.5967391304347827,0.05801741802209791,2.298628090788274,0.07997750551861436,True
3,15,0.0001,0.5967391304347827,0.05801741802209791,2.298628090788274,0.07997750551861436,True
3,15,0.01,0.5967391304347827,0.05801741802209791,2.298628090788274,0.07997750551861436,True
3,15,0.1,0.5967391304347827,0.05801741802209791,2.298628090788274,0.07997750551861436,True
