,Correlation
Compactness,0.8630926324711481
Perimeter,0.8461771891422758
Texture,0.8339173336589883
Concave Points,0.752821708222571
Concavity,0.7412116262408762
Area,0.7241097704670713
Radius,0.7230881011342108
Smoothness,0.7174390090712939
Symmetry,0.4769370800259524
