,Correlation
Feature_1_to_pred,-0.24476161463239543
Feature_2_to_pred,-0.6303871232026715
Feature_3_to_pred,-0.12326801282910148
Feature_4_to_pred,-0.18543483621526072
Feature_5_to_pred,-0.2062233105251665
Feature_6_to_pred,-0.44560352440620277
Feature_7_to_pred,-0.29407369284815316
Feature_8_to_pred,-0.28140048665440354
