,Correlation
Perimeter,0.8981909527645621
Texture,0.8969500388341417
Concave Points,0.8638674301693684
Concavity,0.8292730681519139
Smoothness,0.8102375084092063
Compactness,0.7833643387276885
Area,0.7336029175583968
Radius,0.7257238179945568
Symmetry,0.7078081605855812
