,Correlation
BMI,0.6914679067995048
Glucose,0.6280531038477553
Insulin,0.5762155968021103
Blood Pressure,0.41517989085831736
Skin Thickness,0.2654191712972522
Age,0.14515921995568082
Diabetes Pedigree Function,0.09778657814002412
Pregnancies,0.006065610047991999
