n_colonies,local_patience,sharing_frequency,sharing_ratio,initial_mu,lm_max_iterations,mean_accuracy,std_accuracy,n_evals
4,10,15,0.15,0.1,10,0.7869565217391304,0.018188261446392975,4
4,7,10,0.2,0.001,10,0.7782608695652173,0.010760320583273537,4
4,7,15,0.1,0.001,10,0.7782608695652173,0.010760320583273537,4
4,7,15,0.05,0.001,10,0.7782608695652173,0.010760320583273537,4
4,7,15,0.2,0.001,10,0.7782608695652173,0.010760320583273537,4
