n_colonies,local_patience,sharing_frequency,sharing_ratio,initial_mu,lm_max_iterations,mean_accuracy,std_accuracy,n_evals
4,10,15,0.15,0.1,10,0.8128260869565217,0.02577622913961321,20
4,7,10,0.2,0.001,10,0.8084782608695653,0.016179230075077933,20
4,7,15,0.1,0.001,10,0.8067391304347826,0.015943840476790355,20
4,7,15,0.05,0.001,10,0.8067391304347826,0.015943840476790355,20
4,7,15,0.2,0.001,10,0.8067391304347826,0.015943840476790355,20
5,3,5,0.15,0.001,10,0.8060869565217391,0.018415494421345543,20
