fold,run,algorithm,accuracy,precision,recall,f1_score,convergence_speed,best_loss,threshold_reached,fold_threshold
1,1,Baseline ACOR,0.6782608695652174,0.6588235294117647,0.875,0.7516778523489933,101,3.0416294329299807,False,2.464506207036869
1,2,Baseline ACOR,0.6347826086956522,0.6392405063291139,0.7890625,0.7062937062937062,0,2.0725497016197263,True,2.464506207036869
1,3,Baseline ACOR,0.691304347826087,0.7878787878787878,0.609375,0.6872246696035242,0,2.312565444465334,True,2.464506207036869
1,4,Baseline ACOR,0.6086956521739131,0.61875,0.7734375,0.6875,101,2.5752492541663603,False,2.464506207036869
1,5,Baseline ACOR,0.7304347826086957,0.7391304347826086,0.796875,0.7669172932330827,0,2.4065091103987615,True,2.464506207036869
1,6,Baseline ACOR,0.6956521739130435,0.881578947368421,0.5234375,0.6568627450980392,101,2.6125079735140027,False,2.464506207036869
1,7,Baseline ACOR,0.7478260869565218,0.8431372549019608,0.671875,0.7478260869565218,0,2.292432423551973,True,2.464506207036869
1,8,Baseline ACOR,0.6782608695652174,0.7109375,0.7109375,0.7109375,0,2.051958171768608,True,2.464506207036869
1,9,Baseline ACOR,0.5608695652173913,0.6588235294117647,0.4375,0.5258215962441315,101,3.1828885127792024,False,2.464506207036869
1,10,Baseline ACOR,0.5478260869565217,0.7727272727272727,0.265625,0.3953488372093023,101,2.7922981402348204,False,2.464506207036869
1,11,Baseline ACOR,0.7260869565217392,0.7927927927927928,0.6875,0.7364016736401674,101,2.591013445873472,False,2.464506207036869
1,12,Baseline ACOR,0.5826086956521739,0.6403508771929824,0.5703125,0.6033057851239669,0,1.9035267581669322,True,2.464506207036869
1,13,Baseline ACOR,0.6782608695652174,0.7109375,0.7109375,0.7109375,101,2.5444666922463224,False,2.464506207036869
1,14,Baseline ACOR,0.591304347826087,0.6634615384615384,0.5390625,0.5948275862068966,101,2.5400738068091626,False,2.464506207036869
1,15,Baseline ACOR,0.6695652173913044,0.6830985915492958,0.7578125,0.7185185185185186,101,2.5769718360990597,False,2.464506207036869
1,16,Baseline ACOR,0.7434782608695653,0.8285714285714286,0.6796875,0.7467811158798283,0,2.328864643886972,True,2.464506207036869
1,17,Baseline ACOR,0.6478260869565218,0.6666666666666666,0.734375,0.6988847583643123,101,3.0277195251399007,False,2.464506207036869
