fold,run,algorithm,accuracy,precision,recall,f1_score,convergence_speed,best_loss,threshold_reached,fold_threshold
1,1,Baseline ACOR,0.8971428571428571,0.7837837837837838,0.9666666666666667,0.8656716417910447,0,0.1458417069947289,True,0.21618592247032248
1,2,Baseline ACOR,0.9428571428571428,0.8787878787878788,0.9666666666666667,0.9206349206349206,101,0.21773217702159486,False,0.21618592247032248
1,3,Baseline ACOR,0.8914285714285715,0.8059701492537313,0.9,0.8503937007874016,0,0.1515044488356049,True,0.21618592247032248
1,4,Baseline ACOR,0.8971428571428571,0.7763157894736842,0.9833333333333333,0.8676470588235294,0,0.17541715954566603,True,0.21618592247032248
1,5,Baseline ACOR,0.9257142857142857,0.8983050847457628,0.8833333333333333,0.8907563025210085,101,0.2637104081289484,False,0.21618592247032248
1,6,Baseline ACOR,0.8914285714285715,0.8059701492537313,0.9,0.8503937007874016,101,0.3082216933878908,False,0.21618592247032248
1,7,Baseline ACOR,0.9257142857142857,0.8983050847457628,0.8833333333333333,0.8907563025210085,0,0.13268550065980037,True,0.21618592247032248
1,8,Baseline ACOR,0.8857142857142857,0.7857142857142857,0.9166666666666666,0.8461538461538461,0,0.16907003894550973,True,0.21618592247032248
1,9,Baseline ACOR,0.8857142857142857,0.8571428571428571,0.8,0.8275862068965517,101,0.2780389734695447,False,0.21618592247032248
1,10,Baseline ACOR,0.88,0.7746478873239436,0.9166666666666666,0.8396946564885496,101,0.26500701110541064,False,0.21618592247032248
1,11,Baseline ACOR,0.9257142857142857,0.8615384615384616,0.9333333333333333,0.896,101,0.26837325596081113,False,0.21618592247032248
1,12,Baseline ACOR,0.9257142857142857,0.8615384615384616,0.9333333333333333,0.896,0,0.13708567366411886,True,0.21618592247032248
1,13,Baseline ACOR,0.9371428571428572,0.9152542372881356,0.9,0.907563025210084,0,0.1780025144163375,True,0.21618592247032248
1,14,Baseline ACOR,0.9142857142857143,0.8571428571428571,0.9,0.8780487804878049,0,0.20986676475413557,True,0.21618592247032248
1,15,Baseline ACOR,0.9314285714285714,0.8870967741935484,0.9166666666666666,0.9016393442622951,0,0.15689960245622764,True,0.21618592247032248
1,16,Baseline ACOR,0.9371428571428572,0.855072463768116,0.9833333333333333,0.9147286821705426,101,0.22724374322346497,False,0.21618592247032248
1,17,Baseline ACOR,0.8914285714285715,0.8059701492537313,0.9,0.8503937007874016,0,0.18864053929901595,True,0.21618592247032248
1,18,Baseline ACOR,0.92,0.8382352941176471,0.95,0.890625,0,0.14649018547255643,True,0.21618592247032248
1,19,Baseline ACOR,0.9314285714285714,0.8529411764705882,0.9666666666666667,0.90625,0,0.15854133238669887,True,0.21618592247032248
1,20,Baseline ACOR,0.9257142857142857,0.8507462686567164,0.95,0.8976377952755905,0,0.19183720643241498,True,0.21618592247032248
1,21,Baseline ACOR,0.8914285714285715,0.8253968253968254,0.8666666666666667,0.8455284552845529,101,0.26903423922086744,False,0.21618592247032248
1,22,Baseline ACOR,0.9485714285714286,0.8923076923076924,0.9666666666666667,0.928,101,0.22991374707410756,False,0.21618592247032248
1,23,Baseline ACOR,0.9085714285714286,0.8548387096774194,0.8833333333333333,0.8688524590163934,101,0.24685203805467695,False,0.21618592247032248
1,24,Baseline ACOR,0.9142857142857143,0.8571428571428571,0.9,0.8780487804878049,0,0.15229312258547445,True,0.21618592247032248
1,25,Baseline ACOR,0.92,0.859375,0.9166666666666666,0.8870967741935484,101,0.25138635955341726,False,0.21618592247032248
1,26,Baseline ACOR,0.9485714285714286,0.8923076923076924,0.9666666666666667,0.928,0,0.1955731967220481,True,0.21618592247032248
1,27,Baseline ACOR,0.8571428571428571,0.7966101694915254,0.7833333333333333,0.7899159663865546,101,0.22758486110206946,False,0.21618592247032248
1,28,Baseline ACOR,0.92,0.8382352941176471,0.95,0.890625,8,0.19803892710841517,True,0.21618592247032248
1,29,Baseline ACOR,0.9085714285714286,0.8142857142857143,0.95,0.8769230769230769,0,0.19149565686376274,True,0.21618592247032248
1,30,Baseline ACOR,0.9485714285714286,0.8923076923076924,0.9666666666666667,0.928,0,0.1535349243393466,True,0.21618592247032248
1,31,Baseline ACOR,0.9085714285714286,0.8235294117647058,0.9333333333333333,0.875,0,0.1717397083820099,True,0.21618592247032248
1,32,Baseline ACOR,0.92,0.8484848484848485,0.9333333333333333,0.8888888888888888,101,0.248253521169211,False,0.21618592247032248
1,33,Baseline ACOR,0.8914285714285715,0.8727272727272727,0.8,0.8347826086956521,101,0.2730479192040956,False,0.21618592247032248
1,34,Baseline ACOR,0.9257142857142857,0.8405797101449275,0.9666666666666667,0.8992248062015504,101,0.2786873378448296,False,0.21618592247032248
1,35,Baseline ACOR,0.92,0.8484848484848485,0.9333333333333333,0.8888888888888888,101,0.24581856726590456,False,0.21618592247032248
1,36,Baseline ACOR,0.8685714285714285,0.7228915662650602,1.0,0.8391608391608392,101,0.45931986723693924,False,0.21618592247032248
1,37,Baseline ACOR,0.9085714285714286,0.8666666666666667,0.8666666666666667,0.8666666666666667,101,0.2459614969368482,False,0.21618592247032248
1,38,Baseline ACOR,0.9314285714285714,0.8636363636363636,0.95,0.9047619047619048,0,0.2134492153391609,True,0.21618592247032248
1,39,Baseline ACOR,0.9028571428571428,0.8307692307692308,0.9,0.864,0,0.18031178436714065,True,0.21618592247032248
1,40,Baseline ACOR,0.9485714285714286,0.9047619047619048,0.95,0.926829268292683,0,0.17182358231085135,True,0.21618592247032248
1,41,Baseline ACOR,0.9428571428571428,0.890625,0.95,0.9193548387096774,101,0.25238409954059127,False,0.21618592247032248
