Fold,Run,Baseline_TP,Hybrid_TP,Difference_TP,Baseline_TN,Hybrid_TN,Difference_TN,Baseline_FP,Hybrid_FP,Difference_FP,Baseline_FN,Hybrid_FN,Difference_FN,Baseline_Accuracy,Hybrid_Accuracy,Difference_Accuracy,Baseline_Precision,Hybrid_Precision,Difference_Precision,Baseline_Recall,Hybrid_Recall,Difference_Recall,Baseline_F1_score,Hybrid_F1_score,Difference_F1_score,Baseline_Best_loss,Hybrid_Best_loss,Difference_Best_loss,Baseline_Iterations,Hybrid_Iterations,Difference_Iterations
4,30,57,59,2,111,110,-1,3,4,1,3,1,-2,0.965517,0.971264,0.005747,0.950000,0.936508,-0.013492,0.950000,0.983333,0.033333,0.950000,0.959350,0.009350,0.167477,0.000001,-0.167476,17,100,83
4,31,59,57,-2,108,111,3,6,3,-3,1,3,2,0.959770,0.965517,0.005747,0.907692,0.950000,0.042308,0.983333,0.950000,-0.033333,0.944000,0.950000,0.006000,0.244529,0.041106,-0.203423,17,22,5
4,32,55,55,0,111,110,-1,3,4,1,5,5,0,0.954023,0.948276,-0.005747,0.948276,0.932203,-0.016072,0.916667,0.916667,0.000000,0.932203,0.924370,-0.007834,0.279073,0.000065,-0.279009,17,28,11
4,33,48,56,8,107,111,4,7,3,-4,12,4,-8,0.890805,0.959770,0.068966,0.872727,0.949153,0.076425,0.800000,0.933333,0.133333,0.834783,0.941176,0.106394,0.334812,0.027463,-0.307349,17,22,5
4,34,59,58,-1,101,111,10,13,3,-10,1,2,1,0.919540,0.971264,0.051724,0.819444,0.950820,0.131375,0.983333,0.966667,-0.016667,0.893939,0.958678,0.064738,0.332882,0.017490,-0.315391,17,28,11
4,35,59,57,-2,107,110,3,7,4,-3,1,3,2,0.954023,0.959770,0.005747,0.893939,0.934426,0.040487,0.983333,0.950000,-0.033333,0.936508,0.942149,0.005641,0.245604,0.026301,-0.219303,17,28,11
4,36,58,55,-3,107,109,2,7,5,-2,2,5,3,0.948276,0.942529,-0.005747,0.892308,0.916667,0.024359,0.966667,0.916667,-0.050000,0.928000,0.916667,-0.011333,0.421388,0.000001,-0.421387,47,100,53
4,37,59,57,-2,107,112,5,7,2,-5,1,3,2,0.954023,0.971264,0.017241,0.893939,0.966102,0.072162,0.983333,0.950000,-0.033333,0.936508,0.957983,0.021475,0.272052,0.000006,-0.272045,17,34,17
4,38,59,58,-1,107,111,4,7,3,-4,1,2,1,0.954023,0.971264,0.017241,0.893939,0.950820,0.056880,0.983333,0.966667,-0.016667,0.936508,0.958678,0.022170,0.265200,0.063461,-0.201739,17,28,11
4,39,58,56,-2,103,111,8,11,3,-8,2,4,2,0.925287,0.959770,0.034483,0.840580,0.949153,0.108573,0.966667,0.933333,-0.033333,0.899225,0.941176,0.041952,0.214898,0.039860,-0.175038,17,22,5
4,40,57,56,-1,110,109,-1,4,5,1,3,4,1,0.959770,0.948276,-0.011494,0.934426,0.918033,-0.016393,0.950000,0.933333,-0.016667,0.942149,0.925620,-0.016529,0.194400,0.015906,-0.178494,17,22,5
4,41,57,59,2,108,109,1,6,5,-1,3,1,-2,0.948276,0.965517,0.017241,0.904762,0.921875,0.017113,0.950000,0.983333,0.033333,0.926829,0.951613,0.024784,0.288453,0.064749,-0.223704,17,22,5
4,42,57,57,0,109,111,2,5,3,-2,3,3,0,0.954023,0.965517,0.011494,0.919355,0.950000,0.030645,0.950000,0.950000,0.000000,0.934426,0.950000,0.015574,0.165517,0.041689,-0.123829,17,22,5
4,43,59,59,0,105,110,5,9,4,-5,1,1,0,0.942529,0.971264,0.028736,0.867647,0.936508,0.068861,0.983333,0.983333,0.000000,0.921875,0.959350,0.037475,0.348915,0.063489,-0.285426,17,22,5
4,44,51,57,6,108,111,3,6,3,-3,9,3,-6,0.913793,0.965517,0.051724,0.894737,0.950000,0.055263,0.850000,0.950000,0.100000,0.871795,0.950000,0.078205,0.291364,0.042102,-0.249262,17,22,5
4,45,54,58,4,108,109,1,6,5,-1,6,2,-4,0.931034,0.959770,0.028736,0.900000,0.920635,0.020635,0.900000,0.966667,0.066667,0.900000,0.943089,0.043089,0.314460,0.047552,-0.266907,17,22,5
4,46,55,56,1,112,111,-1,2,3,1,5,4,-1,0.959770,0.959770,0.000000,0.964912,0.949153,-0.015760,0.916667,0.933333,0.016667,0.940171,0.941176,0.001006,0.163169,0.055419,-0.107750,17,22,5
4,47,58,59,1,110,111,1,4,3,-1,2,1,-1,0.965517,0.977011,0.011494,0.935484,0.951613,0.016129,0.966667,0.983333,0.016667,0.950820,0.967213,0.016393,0.267520,0.036310,-0.231210,17,22,5
4,48,54,58,4,110,110,0,4,4,0,6,2,-4,0.942529,0.965517,0.022989,0.931034,0.935484,0.004449,0.900000,0.966667,0.066667,0.915254,0.950820,0.035565,0.250893,0.005665,-0.245228,17,34,17
4,49,57,58,1,103,109,6,11,5,-6,3,2,-1,0.919540,0.959770,0.040230,0.838235,0.920635,0.082400,0.950000,0.966667,0.016667,0.890625,0.943089,0.052464,0.315031,0.035643,-0.279389,17,22,5
4,50,58,56,-2,106,111,5,8,3,-5,2,4,2,0.942529,0.959770,0.017241,0.878788,0.949153,0.070365,0.966667,0.933333,-0.033333,0.920635,0.941176,0.020542,0.244291,0.035152,-0.209139,17,28,11
