fold,run,accuracy,precision,recall,f1_score
1,1,0.7447916666666666,0.7638888888888888,0.88,0.8178438661710037
1,2,0.7447916666666666,0.7638888888888888,0.88,0.8178438661710037
1,3,0.7447916666666666,0.7638888888888888,0.88,0.8178438661710037
1,4,0.7447916666666666,0.7638888888888888,0.88,0.8178438661710037
1,5,0.7447916666666666,0.7638888888888888,0.88,0.8178438661710037
1,6,0.7447916666666666,0.7638888888888888,0.88,0.8178438661710037
1,7,0.7447916666666666,0.7638888888888888,0.88,0.8178438661710037
1,8,0.7447916666666666,0.7638888888888888,0.88,0.8178438661710037
1,9,0.7447916666666666,0.7638888888888888,0.88,0.8178438661710037
1,10,0.7447916666666666,0.7638888888888888,0.88,0.8178438661710037
1,11,0.7447916666666666,0.7638888888888888,0.88,0.8178438661710037
1,12,0.7447916666666666,0.7638888888888888,0.88,0.8178438661710037
1,13,0.7447916666666666,0.7638888888888888,0.88,0.8178438661710037
1,14,0.7447916666666666,0.7638888888888888,0.88,0.8178438661710037
1,15,0.7447916666666666,0.7638888888888888,0.88,0.8178438661710037
1,16,0.7447916666666666,0.7638888888888888,0.88,0.8178438661710037
1,17,0.7447916666666666,0.7638888888888888,0.88,0.8178438661710037
1,18,0.7447916666666666,0.7638888888888888,0.88,0.8178438661710037
1,19,0.7447916666666666,0.7638888888888888,0.88,0.8178438661710037
1,20,0.7447916666666666,0.7638888888888888,0.88,0.8178438661710037
1,21,0.7447916666666666,0.7638888888888888,0.88,0.8178438661710037
1,22,0.7447916666666666,0.7638888888888888,0.88,0.8178438661710037
1,23,0.7447916666666666,0.7638888888888888,0.88,0.8178438661710037
1,24,0.7447916666666666,0.7638888888888888,0.88,0.8178438661710037
1,25,0.7447916666666666,0.7638888888888888,0.88,0.8178438661710037
1,26,0.7447916666666666,0.7638888888888888,0.88,0.8178438661710037
1,27,0.7447916666666666,0.7638888888888888,0.88,0.8178438661710037
1,28,0.7447916666666666,0.7638888888888888,0.88,0.8178438661710037
1,29,0.7447916666666666,0.7638888888888888,0.88,0.8178438661710037
1,30,0.7447916666666666,0.7638888888888888,0.88,0.8178438661710037
