fold,run,accuracy,precision,recall,f1_score
1,1,0.92,0.8285714285714286,0.9666666666666667,0.8923076923076924
1,2,0.92,0.8285714285714286,0.9666666666666667,0.8923076923076924
1,3,0.92,0.8285714285714286,0.9666666666666667,0.8923076923076924
1,4,0.92,0.8285714285714286,0.9666666666666667,0.8923076923076924
1,5,0.92,0.8285714285714286,0.9666666666666667,0.8923076923076924
1,6,0.92,0.8285714285714286,0.9666666666666667,0.8923076923076924
1,7,0.92,0.8285714285714286,0.9666666666666667,0.8923076923076924
1,8,0.92,0.8285714285714286,0.9666666666666667,0.8923076923076924
1,9,0.92,0.8285714285714286,0.9666666666666667,0.8923076923076924
1,10,0.92,0.8285714285714286,0.9666666666666667,0.8923076923076924
1,11,0.92,0.8285714285714286,0.9666666666666667,0.8923076923076924
1,12,0.92,0.8285714285714286,0.9666666666666667,0.8923076923076924
1,13,0.92,0.8285714285714286,0.9666666666666667,0.8923076923076924
1,14,0.92,0.8285714285714286,0.9666666666666667,0.8923076923076924
1,15,0.92,0.8285714285714286,0.9666666666666667,0.8923076923076924
1,16,0.92,0.8285714285714286,0.9666666666666667,0.8923076923076924
1,17,0.92,0.8285714285714286,0.9666666666666667,0.8923076923076924
1,18,0.92,0.8285714285714286,0.9666666666666667,0.8923076923076924
1,19,0.92,0.8285714285714286,0.9666666666666667,0.8923076923076924
1,20,0.92,0.8285714285714286,0.9666666666666667,0.8923076923076924
1,21,0.92,0.8285714285714286,0.9666666666666667,0.8923076923076924
1,22,0.92,0.8285714285714286,0.9666666666666667,0.8923076923076924
1,23,0.92,0.8285714285714286,0.9666666666666667,0.8923076923076924
1,24,0.92,0.8285714285714286,0.9666666666666667,0.8923076923076924
1,25,0.92,0.8285714285714286,0.9666666666666667,0.8923076923076924
1,26,0.92,0.8285714285714286,0.9666666666666667,0.8923076923076924
1,27,0.92,0.8285714285714286,0.9666666666666667,0.8923076923076924
1,28,0.92,0.8285714285714286,0.9666666666666667,0.8923076923076924
1,29,0.92,0.8285714285714286,0.9666666666666667,0.8923076923076924
1,30,0.92,0.8285714285714286,0.9666666666666667,0.8923076923076924
1,31,0.92,0.8285714285714286,0.9666666666666667,0.8923076923076924
1,32,0.92,0.8285714285714286,0.9666666666666667,0.8923076923076924
1,33,0.92,0.8285714285714286,0.9666666666666667,0.8923076923076924
1,34,0.92,0.8285714285714286,0.9666666666666667,0.8923076923076924
1,35,0.92,0.8285714285714286,0.9666666666666667,0.8923076923076924
1,36,0.92,0.8285714285714286,0.9666666666666667,0.8923076923076924
1,37,0.92,0.8285714285714286,0.9666666666666667,0.8923076923076924
1,38,0.92,0.8285714285714286,0.9666666666666667,0.8923076923076924
1,39,0.92,0.8285714285714286,0.9666666666666667,0.8923076923076924
1,40,0.92,0.8285714285714286,0.9666666666666667,0.8923076923076924
1,41,0.92,0.8285714285714286,0.9666666666666667,0.8923076923076924
1,42,0.92,0.8285714285714286,0.9666666666666667,0.8923076923076924
1,43,0.92,0.8285714285714286,0.9666666666666667,0.8923076923076924
1,44,0.92,0.8285714285714286,0.9666666666666667,0.8923076923076924
1,45,0.92,0.8285714285714286,0.9666666666666667,0.8923076923076924
1,46,0.92,0.8285714285714286,0.9666666666666667,0.8923076923076924
1,47,0.92,0.8285714285714286,0.9666666666666667,0.8923076923076924
1,48,0.92,0.8285714285714286,0.9666666666666667,0.8923076923076924
1,49,0.92,0.8285714285714286,0.9666666666666667,0.8923076923076924
1,50,0.92,0.8285714285714286,0.9666666666666667,0.8923076923076924
2,1,0.9771428571428571,0.9666666666666667,0.9666666666666667,0.9666666666666667
2,2,0.9771428571428571,0.9666666666666667,0.9666666666666667,0.9666666666666667
2,3,0.9771428571428571,0.9666666666666667,0.9666666666666667,0.9666666666666667
2,4,0.9771428571428571,0.9666666666666667,0.9666666666666667,0.9666666666666667
2,5,0.9771428571428571,0.9666666666666667,0.9666666666666667,0.9666666666666667
2,6,0.9771428571428571,0.9666666666666667,0.9666666666666667,0.9666666666666667
2,7,0.9771428571428571,0.9666666666666667,0.9666666666666667,0.9666666666666667
2,8,0.9771428571428571,0.9666666666666667,0.9666666666666667,0.9666666666666667
2,9,0.9771428571428571,0.9666666666666667,0.9666666666666667,0.9666666666666667
2,10,0.9771428571428571,0.9666666666666667,0.9666666666666667,0.9666666666666667
2,11,0.9771428571428571,0.9666666666666667,0.9666666666666667,0.9666666666666667
2,12,0.9771428571428571,0.9666666666666667,0.9666666666666667,0.9666666666666667
2,13,0.9771428571428571,0.9666666666666667,0.9666666666666667,0.9666666666666667
2,14,0.9771428571428571,0.9666666666666667,0.9666666666666667,0.9666666666666667
2,15,0.9771428571428571,0.9666666666666667,0.9666666666666667,0.9666666666666667
2,16,0.9771428571428571,0.9666666666666667,0.9666666666666667,0.9666666666666667
2,17,0.9771428571428571,0.9666666666666667,0.9666666666666667,0.9666666666666667
2,18,0.9771428571428571,0.9666666666666667,0.9666666666666667,0.9666666666666667
2,19,0.9771428571428571,0.9666666666666667,0.9666666666666667,0.9666666666666667
2,20,0.9771428571428571,0.9666666666666667,0.9666666666666667,0.9666666666666667
2,21,0.9771428571428571,0.9666666666666667,0.9666666666666667,0.9666666666666667
2,22,0.9771428571428571,0.9666666666666667,0.9666666666666667,0.9666666666666667
2,23,0.9771428571428571,0.9666666666666667,0.9666666666666667,0.9666666666666667
