fold,run,accuracy,precision,recall,f1_score
1,1,0.7217391304347827,0.9705882352941176,0.515625,0.673469387755102
1,2,0.7217391304347827,0.9705882352941176,0.515625,0.673469387755102
1,3,0.7217391304347827,0.9705882352941176,0.515625,0.673469387755102
1,4,0.7217391304347827,0.9705882352941176,0.515625,0.673469387755102
1,5,0.7217391304347827,0.9705882352941176,0.515625,0.673469387755102
1,6,0.7217391304347827,0.9705882352941176,0.515625,0.673469387755102
1,7,0.7217391304347827,0.9705882352941176,0.515625,0.673469387755102
1,8,0.7217391304347827,0.9705882352941176,0.515625,0.673469387755102
1,9,0.7217391304347827,0.9705882352941176,0.515625,0.673469387755102
1,10,0.7217391304347827,0.9705882352941176,0.515625,0.673469387755102
1,11,0.7217391304347827,0.9705882352941176,0.515625,0.673469387755102
1,12,0.7217391304347827,0.9705882352941176,0.515625,0.673469387755102
1,13,0.7217391304347827,0.9705882352941176,0.515625,0.673469387755102
1,14,0.7217391304347827,0.9705882352941176,0.515625,0.673469387755102
1,15,0.7217391304347827,0.9705882352941176,0.515625,0.673469387755102
1,16,0.7217391304347827,0.9705882352941176,0.515625,0.673469387755102
1,17,0.7217391304347827,0.9705882352941176,0.515625,0.673469387755102
1,18,0.7217391304347827,0.9705882352941176,0.515625,0.673469387755102
1,19,0.7217391304347827,0.9705882352941176,0.515625,0.673469387755102
1,20,0.7217391304347827,0.9705882352941176,0.515625,0.673469387755102
1,21,0.7217391304347827,0.9705882352941176,0.515625,0.673469387755102
1,22,0.7217391304347827,0.9705882352941176,0.515625,0.673469387755102
1,23,0.7217391304347827,0.9705882352941176,0.515625,0.673469387755102
1,24,0.7217391304347827,0.9705882352941176,0.515625,0.673469387755102
1,25,0.7217391304347827,0.9705882352941176,0.515625,0.673469387755102
1,26,0.7217391304347827,0.9705882352941176,0.515625,0.673469387755102
1,27,0.7217391304347827,0.9705882352941176,0.515625,0.673469387755102
1,28,0.7217391304347827,0.9705882352941176,0.515625,0.673469387755102
1,29,0.7217391304347827,0.9705882352941176,0.515625,0.673469387755102
1,30,0.7217391304347827,0.9705882352941176,0.515625,0.673469387755102
1,31,0.7217391304347827,0.9705882352941176,0.515625,0.673469387755102
1,32,0.7217391304347827,0.9705882352941176,0.515625,0.673469387755102
1,33,0.7217391304347827,0.9705882352941176,0.515625,0.673469387755102
1,34,0.7217391304347827,0.9705882352941176,0.515625,0.673469387755102
1,35,0.7217391304347827,0.9705882352941176,0.515625,0.673469387755102
1,36,0.7217391304347827,0.9705882352941176,0.515625,0.673469387755102
1,37,0.7217391304347827,0.9705882352941176,0.515625,0.673469387755102
1,38,0.7217391304347827,0.9705882352941176,0.515625,0.673469387755102
1,39,0.7217391304347827,0.9705882352941176,0.515625,0.673469387755102
1,40,0.7217391304347827,0.9705882352941176,0.515625,0.673469387755102
1,41,0.7217391304347827,0.9705882352941176,0.515625,0.673469387755102
1,42,0.7217391304347827,0.9705882352941176,0.515625,0.673469387755102
1,43,0.7217391304347827,0.9705882352941176,0.515625,0.673469387755102
1,44,0.7217391304347827,0.9705882352941176,0.515625,0.673469387755102
1,45,0.7217391304347827,0.9705882352941176,0.515625,0.673469387755102
1,46,0.7217391304347827,0.9705882352941176,0.515625,0.673469387755102
1,47,0.7217391304347827,0.9705882352941176,0.515625,0.673469387755102
1,48,0.7217391304347827,0.9705882352941176,0.515625,0.673469387755102
1,49,0.7217391304347827,0.9705882352941176,0.515625,0.673469387755102
1,50,0.7217391304347827,0.9705882352941176,0.515625,0.673469387755102
2,1,0.7086956521739131,0.8488372093023255,0.5748031496062992,0.6854460093896714
2,2,0.7086956521739131,0.8488372093023255,0.5748031496062992,0.6854460093896714
2,3,0.7086956521739131,0.8488372093023255,0.5748031496062992,0.6854460093896714
2,4,0.7086956521739131,0.8488372093023255,0.5748031496062992,0.6854460093896714
2,5,0.7086956521739131,0.8488372093023255,0.5748031496062992,0.6854460093896714
2,6,0.7086956521739131,0.8488372093023255,0.5748031496062992,0.6854460093896714
2,7,0.7086956521739131,0.8488372093023255,0.5748031496062992,0.6854460093896714
2,8,0.7086956521739131,0.8488372093023255,0.5748031496062992,0.6854460093896714
2,9,0.7086956521739131,0.8488372093023255,0.5748031496062992,0.6854460093896714
2,10,0.7086956521739131,0.8488372093023255,0.5748031496062992,0.6854460093896714
2,11,0.7086956521739131,0.8488372093023255,0.5748031496062992,0.6854460093896714
2,12,0.7086956521739131,0.8488372093023255,0.5748031496062992,0.6854460093896714
2,13,0.7086956521739131,0.8488372093023255,0.5748031496062992,0.6854460093896714
2,14,0.7086956521739131,0.8488372093023255,0.5748031496062992,0.6854460093896714
2,15,0.7086956521739131,0.8488372093023255,0.5748031496062992,0.6854460093896714
2,16,0.7086956521739131,0.8488372093023255,0.5748031496062992,0.6854460093896714
2,17,0.7086956521739131,0.8488372093023255,0.5748031496062992,0.6854460093896714
